,attr0_hi,attr0_lo,attr1_hi,attr1_lo,attr2_hi,attr2_lo,attr3_hi,attr3_lo,attr4_hi,attr4_lo
0,-0.10156,-0.12046448,-0.45550427,-0.5,-0.4992,-0.5,-0.21665569,-0.35872548,-0.49360876,-0.5
1,-0.000732,-0.044117932,-0.5,-0.5,-0.4992,-0.5,-0.28838943,-0.35915585,-0.5,-0.5
2,0.1404212,0.069636085,-0.45713711,-0.5,-0.4992,-0.5,-0.24468922,-0.38406017,-0.5,-0.5
3,0.2376683,0.200941,-0.49420022,-0.5,-0.5,-0.5,-0.351675,-0.36705481,-0.5,-0.5
4,-0.10156,-0.12399995,-0.449995,-0.48406465,-0.4992,-0.5,-0.22418633,-0.357145,-0.49695027,-0.5
5,0.100096,0.100096,-0.449995,-0.45735137,-0.5,-0.5,-0.35519417,-0.357145,-0.4722984,-0.5
6,0.21110275,0.200941,-0.449995,-0.49160672,-0.5,-0.5,-0.30342307,-0.357145,-0.5,-0.5
7,-0.10156,-0.12929,-0.5,-0.5,-0.4992,-0.5,-0.15583426,-0.25068498,-0.38995699,-0.5
8,-0.000732,-0.039716417,-0.46873979,-0.5,-0.4992,-0.5,-0.214282,-0.21661404,-0.5,-0.5
9,0.100096,0.093974865,-0.48313896,-0.5,-0.4992,-0.5,-0.17727683,-0.214282,-0.4770506,-0.5
10,0.27178179,0.18816071,-0.5,-0.5,-0.5,-0.5,-0.068519411,-0.214282,-0.39530463,-0.5
11,0.47955687,0.21717257,-0.5,-0.5,-0.5,-0.5,-0.214282,-0.30644816,-0.5,-0.5
12,0.48406241,0.43205733,-0.5,-0.5,-0.4992,-0.5,-0.20745928,-0.29166724,-0.5,-0.5
13,-0.044155233,-0.12565369,-0.44467115,-0.449995,-0.5,-0.5,-0.214282,-0.214282,-0.43154879,-0.5
14,0.0062486771,-0.000732,-0.449995,-0.49951619,-0.4992,-0.5,-0.12114836,-0.214282,-0.39918936,-0.5
15,0.13281073,0.092943476,-0.449995,-0.45569863,-0.5,-0.5,-0.16632596,-0.214282,-0.40403917,-0.5
16,0.20613243,0.10968789,-0.449995,-0.449995,-0.5,-0.5,-0.214282,-0.214282,-0.44115342,-0.5
17,0.57598025,0.26197943,-0.449995,-0.5,-0.5,-0.5,-0.214282,-0.214282,-0.5,-0.5
18,0.57598025,0.33866634,-0.449995,-0.449995,-0.4992,-0.5,-0.20271378,-0.214282,-0.5,-0.5
19,-0.10156,-0.12929,-0.39022728,-0.400004,-0.4992,-0.5,-0.09157421,-0.25364232,-0.5,-0.5
20,-0.000732,-0.028727259,-0.39813539,-0.4285087,-0.5,-0.5,-0.0257326,-0.22058259,-0.43489664,-0.5
21,0.10309212,0.069899582,-0.400004,-0.44330335,-0.5,-0.5,-0.19827874,-0.27529153,-0.44154306,-0.5
22,0.200941,0.037298456,-0.39927873,-0.400004,-0.5,-0.5,-0.21211366,-0.26117835,-0.40530387,-0.5
23,0.4611491,0.29108269,-0.400004,-0.400004,-0.4992,-0.5,-0.20682918,-0.214282,-0.4921242,-0.5
24,0.60730407,0.4674605,-0.400004,-0.400004,-0.4992,-0.5,-0.214282,-0.214282,-0.5,-0.5
25,-0.10156,-0.10156,-0.349998,-0.3809283,-0.49938304,-0.5,-0.21428203,-0.25728454,-0.47127786,-0.5
26,-0.000732,-0.0019938365,-0.32245502,-0.349998,-0.5,-0.5,0.11995372,-0.214282,-0.5,-0.5
27,0.12841559,-0.0019339884,-0.33705798,-0.349998,-0.4992,-0.5,0.041528652,-0.214282,-0.5,-0.5
28,0.24148797,0.19947852,-0.3332436,-0.349998,-0.49972526,-0.5,-0.214282,-0.23505896,-0.5,-0.5
29,0.34673955,0.28192927,-0.349998,-0.36636796,-0.4992,-0.5,-0.19249748,-0.214282,-0.5,-0.5
30,-0.10156,-0.12929,-0.28976455,-0.3020799,-0.4992,-0.5,-0.14394252,-0.26165201,-0.5,-0.5
31,0.01548387,-0.016063579,-0.300007,-0.300007,-0.5,-0.5,0.18360207,-0.21613693,-0.5,-0.5
32,0.10843516,0.080702378,-0.300007,-0.31179092,-0.4992,-0.5,0.040805353,-0.23767677,-0.5,-0.5
33,0.20666157,0.11465612,-0.300007,-0.300007,-0.4992,-0.5,-0.214282,-0.214282,-0.5,-0.5
34,-0.10156,-0.11649986,-0.2489562,-0.250001,-0.4992,-0.5,-0.059976367,-0.2330121,-0.5,-0.5
35,-0.078365373,-0.10700908,-0.199994,-0.22140629,-0.4992,-0.5,-0.062121524,-0.25778427,-0.5,-0.5
