agent0_color_g,agent2_model,agent1_location_x,agent1_model,agent0_heading,agent3_color_b,agent3_color_g,agent1_distance,class
230,GRANGER,-371.8476554,BISON,327.1603017,253,253,30.23559852,p5c
255,ORACLE,-369.9180688,BLISTA,315.1611401,128,128,32.40362135,p5c
165,BUFFALO,-370.1012215,ORACLE,312.3404503,89,89,32.19783024,p5c
71,GRANGER,-369.6737011,ORACLE,324.6895381,193,193,32.67819566,p5c
255,ASEA,-371.7490286,ORACLE,313.8741729,134,134,30.34640862,p5c
118,BISON,-371.0174979,PRANGER,328.1368319,61,61,31.16831849,p5c
0,BLISTA,-370.3184766,GRANGER,313.9742006,145,145,31.95372329,p5c
218,BOBCATXL,-371.8822327,ORACLE,322.9141634,157,144,30.19674998,p5c
252,BISON,-370.3913605,JACKAL,313.3121692,25,25,31.87183173,p5c
153,JACKAL,-371.285197,ORACLE,327.1661793,47,47,30.86754293,p5c
129,PATRIOT,-370.4399981,JACKAL,323.4729475,108,109,31.81718304,p5c
27,NINEF,-371.5495367,GRANGER,322.3960902,210,210,30.57054501,p5c
141,BLISTA,-370.2922404,BISON,315.6382051,127,182,31.9832021,p5c
165,ASEA,-371.5306589,ASEA,316.5340358,123,216,30.59175502,p5c
253,BUFFALO,-371.7252456,PATRIOT,327.3970709,42,42,30.37312955,p5c
255,ASEA,-371.7037445,BUFFALO,326.1578776,255,255,30.39728677,p5c
153,ASEA,-370.4429522,BISON,330.2499332,71,118,31.81386389,p5c
183,BUFFALO,-371.9093768,PATRIOT,328.2513172,94,94,30.16625282,p5c
237,ORACLE,-370.3863639,NINEF,311.8783576,45,110,31.87744585,p5c
18,JACKAL,-370.6499997,ASEA,317.9943044,132,205,31.58122888,p5c
43,PRANGER,-370.4379183,PRANGER,313.6325673,255,255,31.81951984,p5c
112,ASEA,-370.245908,DOMINATOR,322.3833095,212,212,32.03526093,p5c
25,BISON,-369.8383036,PATRIOT,318.8743917,63,70,32.49324618,p5c
143,DOMINATOR,-370.7140493,BLISTA,327.1492497,255,255,31.50926417,p5c
248,BALLER,-369.5305079,BOBCATXL,317.8066898,224,224,32.83909021,p5c
247,ASEA,-370.8828144,BISON,328.1965358,202,202,31.31964429,p5c
122,ASEA,-370.4763584,GRANGER,328.6933482,112,75,31.77632912,p5c
76,BOBCATXL,-369.704276,GRANGER,314.6618258,64,71,32.64384123,p5c
168,BISON,-370.6215696,BUFFALO,313.9377933,59,59,31.61317236,p5c
188,DOMINATOR,-370.6910111,BLISTA,328.0764083,163,167,31.53514933,p5c
132,BUFFALO,-370.4823648,BUFFALO,324.4066062,255,255,31.76958044,p5c
188,BLISTA,-371.7480285,BOBCATXL,328.1113064,255,255,30.34753227,p5c
177,PRANGER,-371.679913,GRANGER,315.4620249,212,212,30.42406234,p5c
114,NINEF,-370.8199489,BOBCATXL,315.6257691,203,211,31.39027817,p5c
249,NINEF,-371.094934,JACKAL,319.8701686,124,157,31.08131419,p5c
69,ASEA,-371.6152206,BOBCATXL,324.2533952,173,189,30.4967466,p5c
255,BOBCATXL,-371.0212709,BLISTA,316.2398067,38,38,31.16407924,p5c
170,BOBCATXL,-371.8667619,BISON,326.4159862,47,47,30.21413176,p5c
188,JACKAL,-370.4216378,BISON,317.2348349,108,156,31.83781252,p5c
112,ASEA,-371.9979593,BOBCATXL,321.3501348,41,41,30.06672845,p5c
255,BISON,-370.5516736,ORACLE,315.7130302,178,180,31.69170614,p5c
86,DOMINATOR,-370.3184282,NINEF,316.5171204,158,152,31.95377774,p5c
27,BOBCATXL,-370.3667876,PATRIOT,330.3345046,81,81,31.89944158,p5c
174,ASEA,-369.7249879,PATRIOT,331.0300455,144,144,32.62056903,p5c
255,ASEA,-370.4015626,DOMINATOR,318.8793304,119,146,31.86036873,p5c
169,ASEA,-371.4750161,BISON,313.622752,121,121,30.6542721,p5c
