1, OVERCAST, 227, 227, 11.64899724, correct
1, CLEAR, 35, 35, 10.80420201, correct
1, OVERCAST, 25, 25, 19.15408688, correct
1, RAIN, 254, 254, 15.00492446, correct
1, FOGGY, 192, 121, 18.56423656, correct
1, SMOG, 222, 220, 19.12897571, correct
1, CLEAR, 86, 36, 12.0205932, correct
1, FOGGY, 50, 50, 11.50478926, correct
1, OVERCAST, 239, 239, 18.49159517, correct
1, OVERCAST, 43, 42, 17.68368008, correct
1, OVERCAST, 181, 73, 13.44457673, correct
1, THUNDER, 49, 49, 7.32119792, correct
1, RAIN, 109, 109, 14.49018355, correct
1, EXTRASUNNY, 180, 180, 18.63994885, correct
1, NEUTRAL, 87, 84, 10.68268987, correct
1, NEUTRAL, 116, 116, 11.91551934, correct
1, SMOG, 46, 46, 13.59083407, correct
1, FOGGY, 34, 34, 14.00590617, correct
1, OVERCAST, 209, 209, 13.29819899, correct
1, EXTRASUNNY, 255, 255, 11.49606703, correct
1, CLOUDS, 213, 213, 13.33601279, correct
1, CLOUDS, 74, 74, 13.24021822, correct
1, CLOUDS, 3, 3, 11.89319532, correct
1, RAIN, 255, 255, 17.69802387, correct
1, CLOUDS, 54, 54, 8.239337997, correct
1, CLEAR, 100, 100, 15.57006076, correct
1, EXTRASUNNY, 225, 225, 17.13127068, correct
1, CLEARING, 255, 255, 12.72541592, correct
1, EXTRASUNNY, 64, 192, 8.69137256, correct
1, RAIN, 211, 205, 19.62114386, correct
1, CLOUDS, 136, 136, 6.874893424, correct
1, OVERCAST, 119, 119, 13.73128344, correct
1, EXTRASUNNY, 212, 212, 11.50206608, correct
1, RAIN, 42, 36, 14.70268183, correct
1, EXTRASUNNY, 129, 129, 18.84732924, correct
1, FOGGY, 192, 192, 7.232922212, correct
1, CLOUDS, 120, 120, 15.44799979, correct
1, CLEAR, 65, 65, 10.79568623, correct
1, CLOUDS, 176, 176, 17.73012027, correct
1, RAIN, 215, 215, 12.19869296, correct
1, OVERCAST, 255, 255, 14.28315543, correct
1, CLEARING, 195, 195, 15.3773626, correct
1, OVERCAST, 37, 37, 12.13602053, correct
1, CLEAR, 137, 68, 12.47407011, correct
1, THUNDER, 251, 251, 15.85525572, correct
1, RAIN, 126, 125, 13.2253066, correct
1, SMOG, 158, 104, 10.88538383, correct
1, THUNDER, 3, 3, 10.26553471, correct
1, FOGGY, 136, 136, 17.02229501, correct
1, CLEAR, 151, 151, 13.23593397, correct
1, CLOUDS, 186, 186, 5.266450713, correct
1, CLOUDS, 255, 255, 19.73533323, correct
1, CLOUDS, 118, 118, 9.627157692, correct
1, CLEAR, 188, 74, 17.21901969, correct
1, CLOUDS, 255, 255, 12.30153235, correct
1, CLOUDS, 120, 114, 17.59711386, correct
1, EXTRASUNNY, 219, 219, 16.31851999, correct
1, FOGGY, 255, 255, 16.96937452, correct
1, CLEAR, 48, 48, 17.88540588, correct
1, SNOW, 255, 255, 9.401656267, correct
1, EXTRASUNNY, 188, 188, 14.13655572, correct
1, CLOUDS, 202, 201, 11.63439373, correct
1, THUNDER, 206, 206, 7.128202451, correct
1, BLIZZARD, 117, 117, 12.44356844, correct
1, CLEAR, 100, 118, 14.22043145, correct
1, OVERCAST, 255, 255, 17.63519491, correct
1, EXTRASUNNY, 179, 71, 10.28374718, correct
1, OVERCAST, 113, 113, 11.80888735, correct
1, CLOUDS, 68, 185, 19.26625705, correct
1, NEUTRAL, 178, 159, 15.85525572, correct
1, EXTRASUNNY, 237, 237, 9.24530154, correct
1, CLEAR, 136, 136, 16.81283191, correct
1, CLEARING, 27, 26, 13.78734567, correct
1, OVERCAST, 213, 213, 6.738088175, correct
1, NEUTRAL, 255, 255, 18.34603358, correct
1, FOGGY, 67, 67, 14.4373588, correct
1, OVERCAST, 171, 156, 9.188453341, correct
1, CLOUDS, 84, 84, 15.80293705, correct
1, CLEAR, 165, 165, 13.88568432, correct
1, EXTRASUNNY, 236, 236, 15.85525572, correct
1, EXTRASUNNY, 213, 117, 13.92097402, correct
1, OVERCAST, 186, 184, 14.42324878, correct
1, CLEAR, 251, 250, 10.55509517, correct
1, CLOUDS, 179, 171, 15.91906226, correct
1, EXTRASUNNY, 224, 224, 14.74071518, correct
1, SNOW, 36, 36, 14.28771196, correct
1, CLEAR, 255, 255, 7.397915425, correct
1, SMOG, 255, 255, 18.58489997, correct
1, CLEAR, 148, 144, 9.895749835, correct
1, RAIN, 51, 51, 9.664969993, correct
1, CLOUDS, 255, 255, 14.86565014, correct
1, CLEAR, 90, 70, 11.48013084, correct
1, OVERCAST, 239, 236, 12.77242644, correct
1, SMOG, 39, 39, 17.44804688, correct
1, THUNDER, 117, 117, 5.887518254, correct
1, NEUTRAL, 181, 159, 17.8971735, correct
1, EXTRASUNNY, 169, 169, 16.40009738, correct
1, THUNDER, 55, 55, 12.372358, correct
1, CLEAR, 246, 246, 15.36962871, correct
1, CLEAR, 4, 4, 13.590267, correct
1, EXTRASUNNY, 65, 41, 14.15227538, correct
1, EXTRASUNNY, 79, 79, 15.81122155, correct
1, CLEARING, 255, 255, 10.51142389, correct
1, CLEAR, 187, 166, 16.36229592, correct
1, EXTRASUNNY, 225, 225, 12.64992923, correct
1, OVERCAST, 193, 193, 17.45315315, correct
1, OVERCAST, 154, 130, 18.61729949, correct
1, EXTRASUNNY, 189, 189, 12.64992923, correct
1, EXTRASUNNY, 92, 165, 17.07421025, correct
1, OVERCAST, 164, 156, 17.80947991, correct
1, CLEAR, 63, 60, 9.132865855, correct
1, EXTRASUNNY, 213, 203, 19.60823982, correct
1, CLOUDS, 251, 251, 16.34117198, correct
1, NEUTRAL, 98, 85, 14.18698295, correct
1, EXTRASUNNY, 127, 127, 7.739272793, correct
1, CLEAR, 183, 195, 16.02022362, correct
1, EXTRASUNNY, 164, 164, 18.53364547, correct
1, THUNDER, 99, 85, 13.45406002, correct
1, CLOUDS, 172, 64, 13.52986468, correct
1, XMAS, 151, 82, 13.15658047, correct
1, NEUTRAL, 231, 231, 11.52399083, correct
1, CLOUDS, 185, 185, 13.26814851, correct
1, CLEARING, 255, 255, 16.20344197, correct
1, CLOUDS, 185, 183, 19.57297677, correct
1, RAIN, 123, 95, 6.289198308, correct
1, SMOG, 150, 109, 12.8753702, correct
1, SNOWLIGHT, 197, 197, 10.78717715, correct
1, CLOUDS, 255, 255, 16.4150369, correct
1, OVERCAST, 129, 129, 15.36573153, correct
1, EXTRASUNNY, 64, 56, 11.88102009, correct
1, OVERCAST, 121, 121, 8.940465481, correct
1, EXTRASUNNY, 149, 149, 12.36419175, correct
1, RAIN, 113, 113, 17.1895147, correct
1, NEUTRAL, 57, 43, 19.41132796, correct
1, OVERCAST, 166, 165, 7.695414067, correct
1, CLEARING, 97, 97, 8.886636338, correct
1, OVERCAST, 105, 157, 14.69099086, correct
1, NEUTRAL, 204, 56, 13.94502814, correct
1, SMOG, 109, 109, 10.52297469, correct
1, CLOUDS, 189, 189, 18.32875635, correct
1, EXTRASUNNY, 47, 47, 14.38619965, correct
1, OVERCAST, 102, 102, 14.20166845, correct
1, OVERCAST, 151, 151, 8.109063611, correct
1, CLEARING, 255, 255, 18.95716249, correct
1, CLOUDS, 237, 237, 10.07013117, correct
1, OVERCAST, 232, 232, 8.435790122, correct
1, CLOUDS, 255, 255, 17.15916941, correct
1, SMOG, 131, 131, 14.24162562, correct
1, EXTRASUNNY, 35, 35, 11.86019649, correct
1, NEUTRAL, 23, 23, 18.0535442, correct
1, OVERCAST, 36, 31, 17.35640182, correct
1, CLOUDS, 194, 189, 14.85945997, correct
1, EXTRASUNNY, 39, 39, 19.10003446, correct
1, XMAS, 255, 255, 16.67880826, correct
1, NEUTRAL, 108, 101, 14.95306441, correct
1, FOGGY, 170, 159, 11.15078961, correct
1, CLEAR, 101, 152, 6.502733954, correct
1, EXTRASUNNY, 203, 201, 8.402736249, correct
1, CLEAR, 216, 216, 11.74325807, correct
1, CLOUDS, 42, 42, 14.31964932, correct
1, CLOUDS, 172, 158, 14.46391078, correct
1, OVERCAST, 67, 67, 6.277901867, correct
1, FOGGY, 255, 255, 11.97890488, correct
1, FOGGY, 186, 112, 14.26230073, correct
1, THUNDER, 76, 76, 13.40418325, correct
1, CLEAR, 64, 180, 9.336384903, correct
1, SNOW, 182, 134, 12.570542, correct
1, CLOUDS, 230, 229, 6.040974121, correct
1, CLEAR, 49, 49, 7.08793237, correct
1, CLEAR, 222, 222, 11.63613816, correct
1, CLEAR, 48, 48, 12.04064288, correct
1, SMOG, 193, 191, 12.10173158, correct
1, EXTRASUNNY, 26, 26, 16.61418464, correct
1, RAIN, 44, 44, 14.146075, correct
1, FOGGY, 115, 115, 15.74170782, correct
1, CLEAR, 173, 118, 12.12283062, correct
1, XMAS, 220, 220, 14.95482937, correct
1, CLEAR, 150, 150, 9.801576704, correct
1, OVERCAST, 154, 154, 12.92376889, correct
1, CLEAR, 255, 255, 9.771865696, correct
1, FOGGY, 103, 103, 15.3572195, correct
1, THUNDER, 100, 100, 11.64337722, correct
1, RAIN, 255, 255, 18.00461011, correct
1, SNOW, 255, 255, 17.34085717, correct
1, SMOG, 193, 186, 13.02860264, correct
1, EXTRASUNNY, 126, 115, 16.15413694, correct
1, OVERCAST, 167, 166, 16.06189663, correct
1, EXTRASUNNY, 255, 255, 19.69464824, correct
1, NEUTRAL, 255, 255, 12.22205907, correct
1, EXTRASUNNY, 118, 118, 13.46069801, correct
1, NEUTRAL, 137, 137, 19.57620508, correct
1, EXTRASUNNY, 230, 230, 12.57763923, correct
1, CLOUDS, 194, 111, 11.01289771, correct
1, XMAS, 223, 223, 14.73766929, correct
1, CLOUDS, 236, 236, 8.502238359, correct
1, SMOG, 254, 253, 16.95734048, correct
1, OVERCAST, 255, 255, 18.08481216, correct
1, RAIN, 245, 234, 9.705717704, correct
1, CLOUDS, 82, 110, 18.11410275, correct
1, OVERCAST, 53, 53, 13.10393242, correct
1, XMAS, 226, 226, 9.132865855, correct
1, FOGGY, 82, 82, 19.53057003, correct
1, FOGGY, 117, 94, 15.89969618, correct
1, CLEARING, 25, 25, 15.77845854, correct
1, BLIZZARD, 72, 71, 11.7841238, correct
1, XMAS, 199, 58, 14.78967048, correct
1, CLOUDS, 255, 255, 18.30671562, correct
1, CLEARING, 79, 73, 12.31223176, correct
1, EXTRASUNNY, 210, 85, 14.13194581, correct
1, OVERCAST, 145, 145, 11.20224396, correct
1, CLOUDS, 51, 123, 13.46450927, correct
1, FOGGY, 44, 44, 11.33303559, correct
1, FOGGY, 129, 127, 14.80635929, correct
1, XMAS, 34, 33, 17.09372931, correct
1, CLOUDS, 123, 185, 9.323221901, correct
1, CLEAR, 86, 111, 15.02125369, correct
1, OVERCAST, 158, 158, 16.14210176, correct
1, THUNDER, 50, 50, 11.03158078, correct
1, CLEAR, 24, 24, 14.68293289, correct
1, EXTRASUNNY, 234, 234, 7.437108551, correct
1, EXTRASUNNY, 133, 133, 6.875326044, correct
1, CLEAR, 197, 197, 8.246502635, correct
1, OVERCAST, 174, 156, 8.601516919, correct
1, CLEAR, 234, 234, 14.49513592, correct
1, CLEARING, 171, 105, 16.34291269, correct
1, CLOUDS, 126, 106, 19.45913174, correct
1, THUNDER, 130, 119, 13.74105479, correct
1, NEUTRAL, 241, 241, 11.56955837, correct
1, NEUTRAL, 166, 161, 14.4085391, correct
1, XMAS, 164, 58, 10.64946446, correct
1, EXTRASUNNY, 49, 49, 10.69458368, correct
1, SMOG, 189, 153, 16.4136777, correct
1, CLEAR, 147, 147, 15.2264371, correct
1, EXTRASUNNY, 140, 140, 16.42500911, correct
1, RAIN, 192, 192, 11.6715431, correct
1, CLOUDS, 190, 186, 9.863293291, correct
1, CLOUDS, 188, 167, 12.19959543, correct
1, FOGGY, 80, 80, 14.20166845, correct
1, OVERCAST, 215, 215, 15.03696617, correct
1, OVERCAST, 148, 136, 6.77724989, correct
1, CLOUDS, 137, 198, 10.02631252, correct
1, FOGGY, 158, 139, 9.705717704, correct
1, CLEARING, 97, 97, 15.64834133, correct
1, OVERCAST, 136, 136, 16.29470718, correct
1, THUNDER, 226, 226, 9.072051949, correct
1, CLOUDS, 110, 68, 8.218492873, correct
1, EXTRASUNNY, 56, 55, 11.28192848, correct
1, EXTRASUNNY, 47, 47, 15.8207807, correct
1, EXTRASUNNY, 133, 124, 16.61418464, correct
1, CLOUDS, 251, 250, 15.95878737, correct
1, FOGGY, 255, 255, 14.98534519, correct
1, CLOUDS, 121, 121, 17.11324048, correct
1, EXTRASUNNY, 201, 173, 12.0082772, correct
1, FOGGY, 246, 246, 16.44111075, correct
1, OVERCAST, 224, 92, 12.73315218, correct
1, CLEARING, 180, 175, 12.496998, correct
1, CLOUDS, 196, 196, 12.91038414, correct
1, NEUTRAL, 172, 172, 17.68216554, correct
1, CLOUDS, 157, 157, 8.08950228, correct
1, CLEAR, 219, 219, 8.228141917, correct
1, EXTRASUNNY, 72, 72, 10.52821064, correct
1, FOGGY, 86, 86, 13.66418327, correct
1, CLEAR, 114, 114, 12.68232269, correct
1, EXTRASUNNY, 70, 68, 17.1592571, correct
1, XMAS, 165, 158, 12.1863655, correct
1, FOGGY, 252, 252, 19.9898098, correct
1, EXTRASUNNY, 186, 184, 10.23236635, correct
1, EXTRASUNNY, 22, 22, 16.19210905, correct
1, RAIN, 185, 178, 14.79822295, correct
1, RAIN, 238, 238, 18.20805463, correct
1, CLEARING, 110, 110, 15.37286332, correct
1, OVERCAST, 91, 86, 16.04084048, correct
1, OVERCAST, 41, 41, 17.59463436, correct
1, NEUTRAL, 65, 50, 19.85387378, correct
1, CLOUDS, 154, 154, 15.37729976, correct
1, EXTRASUNNY, 64, 59, 13.46566283, correct
1, SMOG, 217, 217, 13.8126329, correct
1, CLEARING, 67, 67, 16.19411382, correct
1, RAIN, 255, 255, 11.12908427, correct
1, CLOUDS, 53, 53, 15.06538158, correct
1, OVERCAST, 255, 255, 8.228918369, correct
1, CLOUDS, 255, 255, 10.99741586, correct
1, CLOUDS, 163, 163, 13.27231255, correct
1, FOGGY, 81, 75, 11.03946677, correct
1, RAIN, 255, 255, 11.23207711, correct
1, FOGGY, 119, 166, 15.95915945, correct
1, EXTRASUNNY, 113, 107, 13.239261, correct
1, EXTRASUNNY, 217, 217, 16.1264319, correct
1, THUNDER, 41, 41, 16.80437878, correct
1, EXTRASUNNY, 43, 43, 14.07402835, correct
1, CLOUDS, 245, 245, 12.55689815, correct
1, CLEARING, 133, 109, 14.19384724, correct
1, OVERCAST, 161, 161, 15.72016854, correct
1, CLOUDS, 238, 238, 11.90908416, correct
1, THUNDER, 186, 176, 9.813106664, correct
1, CLOUDS, 156, 60, 10.95517797, correct
1, OVERCAST, 85, 85, 15.64738851, correct
1, CLEAR, 131, 131, 17.00244163, correct
1, FOGGY, 183, 168, 12.27217502, correct
1, OVERCAST, 146, 85, 9.882557125, correct
1, OVERCAST, 217, 175, 7.56442432, correct
1, OVERCAST, 233, 233, 6.837087368, correct
1, OVERCAST, 66, 66, 14.76306987, correct
1, CLOUDS, 137, 132, 14.29144816, correct
1, OVERCAST, 76, 164, 6.440652485, correct
1, THUNDER, 193, 193, 10.61783978, correct
1, FOGGY, 46, 46, 15.68365568, correct
1, XMAS, 106, 72, 12.8043086, correct
1, OVERCAST, 78, 133, 12.47851274, correct
1, OVERCAST, 75, 75, 10.34600269, correct
1, CLEARING, 68, 68, 16.68373642, correct
1, THUNDER, 218, 217, 10.28374718, correct
1, CLOUDS, 175, 175, 12.27904414, correct
1, OVERCAST, 81, 56, 8.08843044, correct
1, CLOUDS, 255, 255, 16.37821518, correct
1, CLEAR, 177, 144, 16.66053227, correct
1, CLEARING, 175, 175, 19.05679516, correct
1, EXTRASUNNY, 202, 202, 14.00342462, correct
1, CLEARING, 126, 126, 18.86672469, correct
1, EXTRASUNNY, 120, 120, 19.36770204, correct
1, EXTRASUNNY, 155, 155, 11.49379013, correct
1, CLOUDS, 54, 54, 11.89510717, correct
1, CLEARING, 255, 255, 11.55935514, correct
1, EXTRASUNNY, 185, 169, 15.82143538, correct
1, EXTRASUNNY, 255, 255, 10.90328649, correct
1, NEUTRAL, 57, 52, 6.77724989, correct
1, OVERCAST, 184, 184, 9.855375912, correct
1, RAIN, 234, 234, 13.19986559, correct
1, THUNDER, 77, 150, 18.30491819, correct
1, CLEAR, 165, 141, 15.64743809, correct
1, XMAS, 190, 185, 14.77084297, correct
1, EXTRASUNNY, 153, 153, 16.06925929, correct
1, CLEAR, 108, 108, 8.907000312, correct
